id,sentence_raw,sentence_clean,e1,e2,relation_full,relation_type,relation_direction,comment
6254,Pressley was the member of the <e1>gang</e1> that dug the shallow <e2>grave</e2> for Nicholas.,Pressley was the member of the gang that dug the shallow grave for Nicholas.,gang,grave,"Product-Producer(e2,e1)",Product-Producer,"e2,e1",(a) is satisfied when we take the literal interpretation of 'dig a grave'.
6255,Brazil is trying to change <e1>laws</e1> that limit political <e2>speech</e2>.,Brazil is trying to change laws that limit political speech.,laws,speech,"Message-Topic(e1,e2)",Message-Topic,"e1,e2",
6256,"The ""E"" tank assembly on the anesthesia <e1>machine</e1> contains various <e2>pins</e2> whose position is peculiar for each gas.","The ""E"" tank assembly on the anesthesia machine contains various pins whose position is peculiar for each gas.",machine,pins,"Component-Whole(e2,e1)",Component-Whole,"e2,e1",
6257,A <e1>statement</e1> from the <e2>campaign</e2> claimed that police knew quickly they had killed an innocent man.,A statement from the campaign claimed that police knew quickly they had killed an innocent man.,statement,campaign,"Product-Producer(e1,e2)",Product-Producer,"e1,e2",the campaign is a metonymy (or collective noun if you prefer) of the people taking part in the campaign.
6258,A <e1>book</e1> titled Heures de Louis le Grand that looks at the <e2>life</e2> and arts of the Sun King is showcased at the exhibition.,A book titled Heures de Louis le Grand that looks at the life and arts of the Sun King is showcased at the exhibition.,book,life,"Message-Topic(e1,e2)",Message-Topic,"e1,e2",
6259,"<e1>Fog</e1>, rain, darkness, and or blowing snow lead to <e2>disorientation</e2>.","Fog, rain, darkness, and or blowing snow lead to disorientation.",Fog,disorientation,"Cause-Effect(e1,e2)",Cause-Effect,"e1,e2",
6260,"The <e1>programme</e1> is constructed from <e2>modules</e2>, and teaching consists of lectures, seminars on various themes, and project work.","The programme is constructed from modules, and teaching consists of lectures, seminars on various themes, and project work.",programme,modules,"Component-Whole(e2,e1)",Component-Whole,"e2,e1",
6261,"Lake Oswego was home to a <e1>sord</e1> of <e2>mallards</e2> who fled south during January and February, and returned in March for breeding.","Lake Oswego was home to a sord of mallards who fled south during January and February, and returned in March for breeding.",sord,mallards,"Member-Collection(e2,e1)",Member-Collection,"e2,e1",
6262,"This is a powerful <e1>novel</e1>, well and clearly written, by an experienced and compassionate <e2>observer</e2>.","This is a powerful novel, well and clearly written, by an experienced and compassionate observer.",novel,observer,"Product-Producer(e1,e2)",Product-Producer,"e1,e2","(a), (d) satisfied"
6263,"Fungal growth and aflatoxin <e1>contamination</e1> are caused by the following factors: warm temperature, high <e2>humidity</e2> and poor soil condition.","Fungal growth and aflatoxin contamination are caused by the following factors: warm temperature, high humidity and poor soil condition.",contamination,humidity,"Cause-Effect(e2,e1)",Cause-Effect,"e2,e1",
6264,The <e1>tides</e1> are caused by the <e2>gravitational force</e2> of the Moon.,The tides are caused by the gravitational force of the Moon.,tides,gravitational force,"Cause-Effect(e2,e1)",Cause-Effect,"e2,e1",
6265,By now an SEO-minded <e1>attendee</e1> has journeyed deep into advanced SEO <e2>concepts</e2>.,By now an SEO-minded attendee has journeyed deep into advanced SEO concepts.,attendee,concepts,Other,Other,none,violates b.1
6266,Celebrity <e1>royalties</e1> flow into Dutch <e2>tax shelters</e2>.,Celebrity royalties flow into Dutch tax shelters.,royalties,tax shelters,"Entity-Destination(e1,e2)",Entity-Destination,"e1,e2",
6267,"I found a <e1>wallet</e1> once with 30 <e2>quid</e2> in it, I handed in the wallet but took the money.","I found a wallet once with 30 quid in it, I handed in the wallet but took the money.",wallet,quid,"Content-Container(e2,e1)",Content-Container,"e2,e1",prototypical example
6268,Anne Grey's <e1>mind</e1> was filled with <e2>questions</e2>.,Anne Grey's mind was filled with questions.,mind,questions,"Content-Container(e2,e1)",Content-Container,"e2,e1",the it is the mind that contains questions
6269,"Then the <e1>king</e1> handed the <e2>key</e2> to the queen, telling her, ""Be warned that whoever lets the serpent escape will be hung"".","Then the king handed the key to the queen, telling her, ""Be warned that whoever lets the serpent escape will be hung"".",king,key,"Entity-Origin(e2,e1)",Entity-Origin,"e2,e1",
6270,"Like blood, the nanorobots deliver <e1>oxygen</e1> to each <e2>cell</e2>.","Like blood, the nanorobots deliver oxygen to each cell.",oxygen,cell,"Entity-Destination(e1,e2)",Entity-Destination,"e1,e2",
6271,"This is a wholesale <e1>forum</e1> to discuss aspects of business such as <e2>dropshipping</e2>, wholesale buying and selling, reselling, etc.","This is a wholesale forum to discuss aspects of business such as dropshipping, wholesale buying and selling, reselling, etc.",forum,dropshipping,"Message-Topic(e1,e2)",Message-Topic,"e1,e2",
6272,Reducing the <e1>harm</e1> caused by the <e2>War</e2> on Drugs is a big task.,Reducing the harm caused by the War on Drugs is a big task.,harm,War,"Cause-Effect(e2,e1)",Cause-Effect,"e2,e1",
6273,I recently decided to work a bit outside of Visual Studio and configure a plain text <e1>editor</e1> to work with the C# <e2>compiler</e2>.,I recently decided to work a bit outside of Visual Studio and configure a plain text editor to work with the C# compiler.,editor,compiler,Other,Other,none,"e1 and e2 are interacting, but neither is really using the other"
6274,"For example, <e1>consonants</e1> were misplaced into consonant <e2>slots</e2>.","For example, consonants were misplaced into consonant slots.",consonants,slots,"Entity-Destination(e1,e2)",Entity-Destination,"e1,e2",
6275,"I solder a wire onto the <e1>rivet</e1> of the chassis ground <e2>truck</e2>, run it into the searchlight, and connect the other end of the wire to the rear of the lamp socket.","I solder a wire onto the rivet of the chassis ground truck, run it into the searchlight, and connect the other end of the wire to the rear of the lamp socket.",rivet,truck,"Component-Whole(e1,e2)",Component-Whole,"e1,e2",
6276,Five ancient <e1>temples</e1> have fallen into <e2>disrepair</e2>.,Five ancient temples have fallen into disrepair.,temples,disrepair,Other,Other,none,violates b.1 and c.3
6277,"The request to alter the voice to a great extent has resulted in exaggerated deviations from the ""normally"" accepted opera <e1>singer</e1>'s <e2>timbre</e2>.","The request to alter the voice to a great extent has resulted in exaggerated deviations from the ""normally"" accepted opera singer's timbre.",singer,timbre,Other,Other,none,e2 is a property of e1.
6278,A huge percentage of the United States <e1>government</e1> was from a Greek <e2>organization</e2> along with many presidents being from Greek organizations.,A huge percentage of the United States government was from a Greek organization along with many presidents being from Greek organizations.,government,organization,"Entity-Origin(e1,e2)",Entity-Origin,"e1,e2",
6279,The <e1>file</e1> contains a description of the <e2>settings</e2> that can be altered.,The file contains a description of the settings that can be altered.,file,settings,"Message-Topic(e1,e2)",Message-Topic,"e1,e2",Modality is outside.
6280,"The <e1>reindeer</e1> made his television <e2>debut</e2> on NBC in 1964, when Rankin/Bass produced a stop-motion animated TV special.","The reindeer made his television debut on NBC in 1964, when Rankin/Bass produced a stop-motion animated TV special.",reindeer,debut,Other,Other,none,
6281,A <e1>phalanx</e1> of <e2>umbrellas</e2> followed the casket toward the gravesite.,A phalanx of umbrellas followed the casket toward the gravesite.,phalanx,umbrellas,"Member-Collection(e2,e1)",Member-Collection,"e2,e1",
6282,The <e1>discussion</e1> here has made extensive reference to the <e2>contrasts</e2> between systems.,The discussion here has made extensive reference to the contrasts between systems.,discussion,contrasts,"Message-Topic(e1,e2)",Message-Topic,"e1,e2",
6283,Sotheby's yesterday in Hong Kong sold a <e1>diamond</e1> <e2>ring</e2> containing a 8.74 carat blue diamond for 3.5m pounds.,Sotheby's yesterday in Hong Kong sold a diamond ring containing a 8.74 carat blue diamond for 3.5m pounds.,diamond,ring,Other,Other,none,
6284,A small <e1>piece</e1> of rock landed into the <e2>trunk</e2>.,A small piece of rock landed into the trunk.,piece,trunk,"Entity-Destination(e1,e2)",Entity-Destination,"e1,e2",
6285,"Edmund produced a small, green spiral notebook from the back <e1>pocket</e1> of his <e2>jeans</e2>.","Edmund produced a small, green spiral notebook from the back pocket of his jeans.",pocket,jeans,"Component-Whole(e1,e2)",Component-Whole,"e1,e2",
6286,The <e1>case studies</e1> detail where <e2>refugees</e2> come from now and in the past.,The case studies detail where refugees come from now and in the past.,case studies,refugees,"Message-Topic(e1,e2)",Message-Topic,"e1,e2","""case studies"" are not a process - (d) is satisfied"
6287,The <e1>ice</e1> was contained in a 10 cm thick insulating foam-lined <e2>box</e2>.,The ice was contained in a 10 cm thick insulating foam-lined box.,ice,box,"Content-Container(e1,e2)",Content-Container,"e1,e2",prototypical example
6288,The <e1>set</e1> of hyperreal <e2>numbers</e2> satisfies the same first order sentences as R.,The set of hyperreal numbers satisfies the same first order sentences as R.,set,numbers,"Member-Collection(e2,e1)",Member-Collection,"e2,e1",
6289,"That looked like an equally impenetrable city <e1>jungle</e1> of <e2>wagons</e2>, horses, small tents, and humanity.","That looked like an equally impenetrable city jungle of wagons, horses, small tents, and humanity.",jungle,wagons,"Member-Collection(e2,e1)",Member-Collection,"e2,e1",
6290,A greedy real estate developer has released <e1>toxins</e1> into the <e2>ocean</e2>.,A greedy real estate developer has released toxins into the ocean.,toxins,ocean,"Entity-Destination(e1,e2)",Entity-Destination,"e1,e2",
6291,"Mr Clinton made the <e1>request</e1> in a twenty-minute <e2>phone call</e2> to the prime minister, John Howard.","Mr Clinton made the request in a twenty-minute phone call to the prime minister, John Howard.",request,phone call,"Message-Topic(e2,e1)",Message-Topic,"e2,e1",phone can move out
6292,The <e1>letter</e1> was contained in a stamped <e2>envelope</e2> of the type sold in the South Dakota state penitentiary commissary.,The letter was contained in a stamped envelope of the type sold in the South Dakota state penitentiary commissary.,letter,envelope,"Content-Container(e1,e2)",Content-Container,"e1,e2",prototypical example
6293,We have provided detailed <e1>instructions</e1> setting out each <e2>step</e2> you need to follow in order to carry out your own DNA sample collection.,We have provided detailed instructions setting out each step you need to follow in order to carry out your own DNA sample collection.,instructions,step,"Message-Topic(e1,e2)",Message-Topic,"e1,e2",
6294,"For the present, the religious <e1>conception</e1> uprises from the human <e2>intellect</e2>.","For the present, the religious conception uprises from the human intellect.",conception,intellect,"Entity-Origin(e1,e2)",Entity-Origin,"e1,e2",
6295,This <e1>apartment</e1> has a <e2>lounge area</e2> with 1 sofa bed and a separate bedroom with 1 double bed (twin beds not available).,This apartment has a lounge area with 1 sofa bed and a separate bedroom with 1 double bed (twin beds not available).,apartment,lounge area,"Component-Whole(e2,e1)",Component-Whole,"e2,e1",
6296,People walk past a <e1>poster</e1> advertising a luxury <e2>fashion brand</e2> on a main street in Shanghai.,People walk past a poster advertising a luxury fashion brand on a main street in Shanghai.,poster,fashion brand,"Message-Topic(e1,e2)",Message-Topic,"e1,e2",
6297,The <e1>newspaper</e1> gave extensive coverage to a broad range of <e2>feminist issues</e2>.,The newspaper gave extensive coverage to a broad range of feminist issues.,newspaper,feminist issues,"Message-Topic(e1,e2)",Message-Topic,"e1,e2",feminist can be taken out of e2.
6298,Scientists have put <e1>sensors</e1> into <e2>mobile phones</e2>.,Scientists have put sensors into mobile phones.,sensors,mobile phones,"Entity-Destination(e1,e2)",Entity-Destination,"e1,e2",
6299,The <e1>parable</e1> related the <e2>rewards</e2> for those who invested successfully and the punishment for those who did not.,The parable related the rewards for those who invested successfully and the punishment for those who did not.,parable,rewards,"Message-Topic(e1,e2)",Message-Topic,"e1,e2",The negations is outside.
6300,"In the film, Howell plays a cop who gets involved with a murder witness, only to find out that she's part of an international <e1>ring</e1> of sex-for-hire <e2>beauties</e2>.","In the film, Howell plays a cop who gets involved with a murder witness, only to find out that she's part of an international ring of sex-for-hire beauties.",ring,beauties,"Member-Collection(e2,e1)",Member-Collection,"e2,e1",
6301,"When these fuels are burned, they create air <e1>pollution</e1> that contributes to global warming and causes smog, acid rain and respiratory <e2>disease</e2>.","When these fuels are burned, they create air pollution that contributes to global warming and causes smog, acid rain and respiratory disease.",pollution,disease,"Cause-Effect(e1,e2)",Cause-Effect,"e1,e2",
6302,The <e1>car kit</e1> has a GPS <e2>receiver</e2> built in that is better than the iPhone's.,The car kit has a GPS receiver built in that is better than the iPhone's.,car kit,receiver,"Component-Whole(e2,e1)",Component-Whole,"e2,e1",
6303,The Financial Regulator today amended the code of conduct of mortgage arrears by increasing the <e1>moratorium</e1> from six <e2>months</e2> to 12 months.,The Financial Regulator today amended the code of conduct of mortgage arrears by increasing the moratorium from six months to 12 months.,moratorium,months,Other,Other,none,
6304,This <e1>issue</e1> has been sent to the <e2>printer</e2>.,This issue has been sent to the printer.,issue,printer,"Entity-Destination(e1,e2)",Entity-Destination,"e1,e2",
6305,"He put a <e1>sample</e1> into a <e2>funnel</e2> and, after giving it three years to settle, sealed everything in a glass jar.","He put a sample into a funnel and, after giving it three years to settle, sealed everything in a glass jar.",sample,funnel,"Entity-Destination(e1,e2)",Entity-Destination,"e1,e2",
6306,"<e1>Remains</e1> from ancient <e2>epochs</e2> are discernible in the village vicinities - to the north of the village, in the location of ""Gradishteto"", lie the ruins of a Thracian and late antique fortresses, Thracian mounds and objects, bearing witness to ancient metallurgy.","Remains from ancient epochs are discernible in the village vicinities - to the north of the village, in the location of ""Gradishteto"", lie the ruins of a Thracian and late antique fortresses, Thracian mounds and objects, bearing witness to ancient metallurgy.",Remains,epochs,"Entity-Origin(e1,e2)",Entity-Origin,"e1,e2",
6307,Norway sent a <e1>delegation</e1> to the Madagascar <e2>government</e2>.,Norway sent a delegation to the Madagascar government.,delegation,government,"Entity-Destination(e1,e2)",Entity-Destination,"e1,e2",
6308,"Today, on the way to work, I saw a <e1>shrewdness</e1> of pink <e2>apes</e2> being chased by a colony of noctiphobic bats.","Today, on the way to work, I saw a shrewdness of pink apes being chased by a colony of noctiphobic bats.",shrewdness,apes,"Member-Collection(e2,e1)",Member-Collection,"e2,e1",
6309,"In psychology, Eysenck Personality Questionnaire (EPQ) is a <e1>questionnaire</e1> to assess the personality <e2>traits</e2> of a person.","In psychology, Eysenck Personality Questionnaire (EPQ) is a questionnaire to assess the personality traits of a person.",questionnaire,traits,Other,Other,none,Purpose.
6310,My friend got a <e1>rash</e1> from a mosquito <e2>bite</e2> and Westcort helped her but it left a scar so she also put on Mederma after the rash went away.,My friend got a rash from a mosquito bite and Westcort helped her but it left a scar so she also put on Mederma after the rash went away.,rash,bite,"Cause-Effect(e2,e1)",Cause-Effect,"e2,e1",
6311,"It really underscores everything in the pro-life movement, that <e1>abortion</e1> is part of a very sad <e2>story</e2> for women.","It really underscores everything in the pro-life movement, that abortion is part of a very sad story for women.",abortion,story,Other,Other,none,
6312,"<e1>Engineers</e1> manually manufacture <e2>parts</e2> in the areas of applied spray coatings, finishes, and other processes that cannot economically or practically be done by a machine.","Engineers manually manufacture parts in the areas of applied spray coatings, finishes, and other processes that cannot economically or practically be done by a machine.",Engineers,parts,"Product-Producer(e2,e1)",Product-Producer,"e2,e1",the engineers are actively involved in the making of the parts
6313,"Second, the <e1>car</e1> was in a <e2>crate</e2>, so no one would have been able to climb into it even if he/she had found a way into the cargo hold.","Second, the car was in a crate, so no one would have been able to climb into it even if he/she had found a way into the cargo hold.",car,crate,"Content-Container(e1,e2)",Content-Container,"e1,e2",The modality and the negation are in another clause.
6314,The floating zenith <e1>telescope</e1> has come into formal observatory <e2>routine</e2> since September.,The floating zenith telescope has come into formal observatory routine since September.,telescope,routine,Other,Other,none,violates b.1 and c.3
6315,She marked the <e1>handle</e1> of the <e2>mop</e2> used for washing with red duct tape to prevent mixing up mops when working.,She marked the handle of the mop used for washing with red duct tape to prevent mixing up mops when working.,handle,mop,"Component-Whole(e1,e2)",Component-Whole,"e1,e2",
6316,An elite U.S. Army study <e1>center</e1> has devised a <e2>plan</e2> for enforcing a major Israeli-Palestinian peace accord that requires about 20000 well-armed troops.,An elite U.S. Army study center has devised a plan for enforcing a major Israeli-Palestinian peace accord that requires about 20000 well-armed troops.,center,plan,"Product-Producer(e2,e1)",Product-Producer,"e2,e1",(a) is satisfied
6317,The various <e1>sensors</e1> and fuses of this <e2>coffeemaker</e2> lie in the white sheathing bridging the heating element.,The various sensors and fuses of this coffeemaker lie in the white sheathing bridging the heating element.,sensors,coffeemaker,"Component-Whole(e1,e2)",Component-Whole,"e1,e2",
6318,He poured <e1>flour</e1> into the <e2>tuba</e2> of an orchestra collegue.,He poured flour into the tuba of an orchestra collegue.,flour,tuba,"Entity-Destination(e1,e2)",Entity-Destination,"e1,e2",
6319,"These <e1>germs</e1> cause illnesses ranging from common ailments, like the cold and <e2>flu</e2>, to disabling.","These germs cause illnesses ranging from common ailments, like the cold and flu, to disabling.",germs,flu,"Cause-Effect(e1,e2)",Cause-Effect,"e1,e2",
6320,"Like the Bosch, this <e1>dishwasher</e1> has a <e2>filter</e2> that must be manually emptied and does not include a built-in food disposal.","Like the Bosch, this dishwasher has a filter that must be manually emptied and does not include a built-in food disposal.",dishwasher,filter,"Component-Whole(e2,e1)",Component-Whole,"e2,e1",
6321,"The greatest impact of the tsunami was generally in an east-west direction, so the <e1>havoc</e1> caused by the <e2>tsunami</e2> along the southwestern shores of Sri Lanka was not as severe as along the eastern coast.","The greatest impact of the tsunami was generally in an east-west direction, so the havoc caused by the tsunami along the southwestern shores of Sri Lanka was not as severe as along the eastern coast.",havoc,tsunami,"Cause-Effect(e2,e1)",Cause-Effect,"e2,e1",
6322,Operation Homefront and partners delivered <e1>toys</e1> to military <e2>children</e2>.,Operation Homefront and partners delivered toys to military children.,toys,children,"Entity-Destination(e1,e2)",Entity-Destination,"e1,e2",
6323,The term has been used by a number of <e1>publications</e1> discussing the <e2>phenomenon</e2>.,The term has been used by a number of publications discussing the phenomenon.,publications,phenomenon,"Message-Topic(e1,e2)",Message-Topic,"e1,e2",
6324,"Diane Daly, multi-talented <e1>photographer</e1>, creates magic with her <e2>camera</e2> and intuitive eye.","Diane Daly, multi-talented photographer, creates magic with her camera and intuitive eye.",photographer,camera,"Instrument-Agency(e2,e1)",Instrument-Agency,"e2,e1",
6325,"The top of the <e1>electroscope</e1> consists of a flat, smooth <e2>plate</e2> of lacquered brass on which another plate of brass rests, separated from it by three minute fragments of glass or shellac, or a film of shellac varnish.","The top of the electroscope consists of a flat, smooth plate of lacquered brass on which another plate of brass rests, separated from it by three minute fragments of glass or shellac, or a film of shellac varnish.",electroscope,plate,"Component-Whole(e2,e1)",Component-Whole,"e2,e1",
6326,I have a <e1>strawberry</e1> <e2>tea</e2> addiction.,I have a strawberry tea addiction.,strawberry,tea,"Entity-Origin(e2,e1)",Entity-Origin,"e2,e1",
6327,The <e1>blisters</e1> are caused by <e2>moisture</e2> that was actually trapped in between the layers of paint.,The blisters are caused by moisture that was actually trapped in between the layers of paint.,blisters,moisture,Other,Other,none,
6328,"Orientation is towards the future, and <e1>satisfaction</e1> is gained from <e2>feelings</e2> of progress.","Orientation is towards the future, and satisfaction is gained from feelings of progress.",satisfaction,feelings,Other,Other,none,
6329,I grabbed the <e1>handle</e1> of the <e2>bucket</e2> and even this small 20 second interaction was enough to make me break out in a small rash.,I grabbed the handle of the bucket and even this small 20 second interaction was enough to make me break out in a small rash.,handle,bucket,"Component-Whole(e1,e2)",Component-Whole,"e1,e2",
6330,"The <e1>book</e1> contains short <e2>tales</e2>, it is regarded as the first book of juvenile literature.","The book contains short tales, it is regarded as the first book of juvenile literature.",book,tales,"Component-Whole(e2,e1)",Component-Whole,"e2,e1",
6331,<e1>Scleroderma</e1> is a disease of the body's connective tissue that causes thickening and <e2>hardening</e2> of the skin.,Scleroderma is a disease of the body's connective tissue that causes thickening and hardening of the skin.,Scleroderma,hardening,"Cause-Effect(e1,e2)",Cause-Effect,"e1,e2",
6332,"The studio picked up the sci-fi action <e1>spec</e1> by tyro <e2>scribe</e2> Chad St. John, and set up the project with Gianni Nunnari (300) at his Hollywood Gang shingle.","The studio picked up the sci-fi action spec by tyro scribe Chad St. John, and set up the project with Gianni Nunnari (300) at his Hollywood Gang shingle.",spec,scribe,"Product-Producer(e1,e2)",Product-Producer,"e1,e2",(a) is satisfied
6333,You are on the committee to select a <e1>slate</e1> of <e2>officers</e2> for the next academic year.,You are on the committee to select a slate of officers for the next academic year.,slate,officers,"Member-Collection(e2,e1)",Member-Collection,"e2,e1",
6334,The developmental <e1>bureaucracy</e1> has come into <e2>being</e2>.,The developmental bureaucracy has come into being.,bureaucracy,being,Other,Other,none,violates c.3
6335,"The man took <e1>driver</e1>'s <e2>keys</e2> until the arrival of police, thus preventing him from leaving.","The man took driver's keys until the arrival of police, thus preventing him from leaving.",driver,keys,"Entity-Origin(e2,e1)",Entity-Origin,"e2,e1",
6336,"Another example is the hammered dulcimer, where the <e1>player</e1> holds the <e2>hammers</e2>.","Another example is the hammered dulcimer, where the player holds the hammers.",player,hammers,"Instrument-Agency(e2,e1)",Instrument-Agency,"e2,e1",
6337,"The <e1>campus</e1> comprises the most noteworthy <e2>buildings</e2> including the Rector Tower, the Central Library and the University Olympic Stadium used for the 1968 Olympic Games and the 1986 soccer World Cup.","The campus comprises the most noteworthy buildings including the Rector Tower, the Central Library and the University Olympic Stadium used for the 1968 Olympic Games and the 1986 soccer World Cup.",campus,buildings,"Component-Whole(e2,e1)",Component-Whole,"e2,e1",
6338,"This <e1>generation</e1> of unregenerated <e2>vipers</e2> was still perverse, stiff-necked, and hardened in their iniquity.","This generation of unregenerated vipers was still perverse, stiff-necked, and hardened in their iniquity.",generation,vipers,"Member-Collection(e2,e1)",Member-Collection,"e2,e1","If family is OK, so it this."
6339,"In one of the scenes when Robert and Francessca are talking in front of his truck, a reflection of one of the movie set lights is seen on the <e1>hood</e1> of the <e2>truck</e2>.","In one of the scenes when Robert and Francessca are talking in front of his truck, a reflection of one of the movie set lights is seen on the hood of the truck.",hood,truck,"Component-Whole(e1,e2)",Component-Whole,"e1,e2",
6340,"The <e1>cramps</e1> are caused by the <e2>anxiety reaction</e2> but because the sufferer has high anxiety, they can be interpreted in other ways; fears grow and the anxiety worsens.","The cramps are caused by the anxiety reaction but because the sufferer has high anxiety, they can be interpreted in other ways; fears grow and the anxiety worsens.",cramps,anxiety reaction,"Cause-Effect(e2,e1)",Cause-Effect,"e2,e1",
6341,A <e1>gift</e1> arrived from the politician's big <e2>brother</e2>.,A gift arrived from the politician's big brother.,gift,brother,"Entity-Origin(e1,e2)",Entity-Origin,"e1,e2",
6342,The <e1>subway</e1> is now approaching the <e2>stop</e2> at City Hall.,The subway is now approaching the stop at City Hall.,subway,stop,"Entity-Destination(e1,e2)",Entity-Destination,"e1,e2",
6343,A less well-known <e1>debate</e1> swirls about <e2>patent</e2> and antitrust law interactions.,A less well-known debate swirls about patent and antitrust law interactions.,debate,patent,"Message-Topic(e1,e2)",Message-Topic,"e1,e2",
6344,The present <e1>invention</e1> processes a transaction using a plurality of <e2>servers</e2>.,The present invention processes a transaction using a plurality of servers.,invention,servers,"Instrument-Agency(e2,e1)",Instrument-Agency,"e2,e1","Unless the ""invention"" is a large system, the servers are external to it and are used as an Intrument."
6345,I sent the Daily family a moving <e1>statement</e1> made by the <e2>mother</e2> of Michael Kelly.,I sent the Daily family a moving statement made by the mother of Michael Kelly.,statement,mother,"Product-Producer(e1,e2)",Product-Producer,"e1,e2","(a), (d) satisfied"
6346,The Dissemination <e1>grants</e1> have been awarded to three Idaho public charter <e2>schools</e2> this year.,The Dissemination grants have been awarded to three Idaho public charter schools this year.,grants,schools,"Entity-Destination(e1,e2)",Entity-Destination,"e1,e2",
6347,"The <e1>photograph</e1> was from the <e2>scene</e2> of the play's climax, where the character formerly known as Shylock threatens Antonio with a knife while demanding his ""pound of coins"".","The photograph was from the scene of the play's climax, where the character formerly known as Shylock threatens Antonio with a knife while demanding his ""pound of coins"".",photograph,scene,"Entity-Origin(e1,e2)",Entity-Origin,"e1,e2",
6348,All 18 of the <e1>men</e1> assist that <e2>season</e2>.,All 18 of the men assist that season.,men,season,Other,Other,none,
6349,Prairie Dog is a free <e1>newspaper</e1> produced by a Saskatchewan worker <e2>co-operative</e2>.,Prairie Dog is a free newspaper produced by a Saskatchewan worker co-operative.,newspaper,co-operative,"Product-Producer(e1,e2)",Product-Producer,"e1,e2",(a) is satisfied
6350,Helicobacter pylori was released <e1>cysteamine</e1> into the <e2>gastric juice</e2>.,Helicobacter pylori was released cysteamine into the gastric juice.,cysteamine,gastric juice,"Entity-Destination(e1,e2)",Entity-Destination,"e1,e2",
6351,Their <e1>productions</e1> have been presented at drama <e2>festivals</e2> across the country.,Their productions have been presented at drama festivals across the country.,productions,festivals,"Component-Whole(e1,e2)",Component-Whole,"e1,e2",
6352,I am putting the <e1>results</e1> into a MySQL <e2>database</e2>.,I am putting the results into a MySQL database.,results,database,"Entity-Destination(e1,e2)",Entity-Destination,"e1,e2",
6353,The <e1>website</e1> is concerned with the <e2>dissemination</e2> and exchange of information about the EnCoRe project.,The website is concerned with the dissemination and exchange of information about the EnCoRe project.,website,dissemination,Other,Other,none,Purpose.
6354,The chicken in a bag on the <e1>floor</e1> of the <e2>bus</e2> doesn't seem to appreciate the driver's hard breaking.,The chicken in a bag on the floor of the bus doesn't seem to appreciate the driver's hard breaking.,floor,bus,"Component-Whole(e1,e2)",Component-Whole,"e1,e2",
6355,Germany produced many of the bottle stopper <e1>marbles</e1> made by this <e2>method</e2>.,Germany produced many of the bottle stopper marbles made by this method.,marbles,method,Other,Other,none,method is not a producer and it is not actively involved in the production
6356,Some of the <e1>movies</e1> got kicked out from the most recent <e2>list</e2>.,Some of the movies got kicked out from the most recent list.,movies,list,"Entity-Origin(e1,e2)",Entity-Origin,"e1,e2",
6357,"A <e1>fuel leak</e1> in one of the C-17s caused a <e2>delay</e2> on the morning of Nov. 7 as the crew was preparing for departure for Cairo, Egypt.","A fuel leak in one of the C-17s caused a delay on the morning of Nov. 7 as the crew was preparing for departure for Cairo, Egypt.",fuel leak,delay,"Cause-Effect(e1,e2)",Cause-Effect,"e1,e2",
6358,<e1>Pinworm</e1> <e2>infestation</e2> is very rarely fatal; death and morbidity are from secondary infection.,Pinworm infestation is very rarely fatal; death and morbidity are from secondary infection.,Pinworm,infestation,"Cause-Effect(e1,e2)",Cause-Effect,"e1,e2",
6359,The <e1>money</e1> was invested into <e2>stocks</e2>.,The money was invested into stocks.,money,stocks,"Entity-Destination(e1,e2)",Entity-Destination,"e1,e2",
6360,<e1>Toxins</e1> are drained into the <e2>sea</e2>.,Toxins are drained into the sea.,Toxins,sea,"Entity-Destination(e1,e2)",Entity-Destination,"e1,e2",
6361,"The <e1>painter</e1>'s strange, anguished <e2>figures</e2> have enthralled artists and bewildered viewers for centuries.","The painter's strange, anguished figures have enthralled artists and bewildered viewers for centuries.",painter,figures,"Product-Producer(e2,e1)",Product-Producer,"e2,e1",(a) is satisfied
6362,"So if you see a solitary Dutch cyclist stopping at a red light while the others gallop on like a <e1>sneak</e1> of famished <e2>weasels</e2>, it's probably me.","So if you see a solitary Dutch cyclist stopping at a red light while the others gallop on like a sneak of famished weasels, it's probably me.",sneak,weasels,"Member-Collection(e2,e1)",Member-Collection,"e2,e1",
6363,The <e1>lava</e1> has been blown into great <e2>bubbles</e2>.,The lava has been blown into great bubbles.,lava,bubbles,Other,Other,none,violates c.1
6364,"Some accounts detail the routine and perfunctory nature of arrest and proceedings against the <e1>riffraff</e1> of the ""criminal <e2>classes</e2>"" (Friedman and Percival).","Some accounts detail the routine and perfunctory nature of arrest and proceedings against the riffraff of the ""criminal classes"" (Friedman and Percival).",riffraff,classes,Other,Other,none,
6365,An advance <e1>visit</e1> was made by <e2>staff</e2> to arrange the visits.,An advance visit was made by staff to arrange the visits.,visit,staff,Other,Other,none,
6366,"The <e1>drugs</e1> he sold had caused the overdose <e2>death</e2> of Matthew Lessard, 19, of Lowell.","The drugs he sold had caused the overdose death of Matthew Lessard, 19, of Lowell.",drugs,death,"Cause-Effect(e1,e2)",Cause-Effect,"e1,e2",
6367,The <e1>jar</e1> from the fall had caused a subdural <e2>hematoma</e2> on the right front side of my brain that shows up in the CT.,The jar from the fall had caused a subdural hematoma on the right front side of my brain that shows up in the CT.,jar,hematoma,"Cause-Effect(e1,e2)",Cause-Effect,"e1,e2",
